Initial Money:2.5
Risk Free Rate:0.04
Month to Expiry:0
Roll Over Day:0
,Delta20,Delta30
20140827,0.08920000000000003,0.09795999999999996
20140828,0.08719999999999999,0.09611999999999998
20140829,0.08708000000000009,0.09628000000000006
20140901,0.08972000000000006,0.09884000000000004
20140902,0.09112,0.09951999999999997
20140903,0.10279999999999996,0.11111999999999993
20140904,0.10732,0.11524000000000001
20140905,0.11424000000000004,0.11967999999999997
20140909,0.11575999999999995,0.12183999999999999
20140910,0.10940000000000003,0.11764000000000001
20140911,0.10808,0.11684000000000001
20140912,0.10819999999999999,0.11547999999999999
20140915,0.10767999999999996,0.11719999999999997
20140916,0.1024,0.11283999999999991
20140917,0.10131999999999994,0.11171999999999996
20140918,0.10143999999999993,0.11212
20140919,0.10472000000000001,0.11448
20140922,0.09459999999999998,0.1056
20140923,0.09576000000000003,0.10724
20140924,0.09699999999999998,0.10767999999999996
20140925,0.10923999999999996,0.12119999999999997
20140926,0.10444000000000005,0.11711999999999997
20140929,0.10699999999999994,0.12023999999999999
20140930,0.10972,0.12135999999999995
20141008,0.11124,0.12395999999999993
20141009,0.11416000000000004,0.12679999999999997
20141010,0.11132,0.12508
20141013,0.10404,0.11932000000000001
20141014,0.10364000000000004,0.11920000000000001
20141015,0.10304000000000002,0.11875999999999998
20141016,0.10671999999999997,0.12243999999999992
20141017,0.10316,0.11936
20141020,0.10752000000000006,0.12412000000000001
20141021,0.10632000000000001,0.12308000000000004
20141022,0.10603999999999995,0.12267999999999998
20141023,0.10247999999999999,0.11912000000000003
20141024,0.10144000000000002,0.11807999999999996
20141027,0.09232000000000004,0.10896000000000008
20141028,0.09404000000000004,0.11068000000000007
20141029,0.10411999999999999,0.12076000000000002
20141030,0.10931999999999994,0.12596
20141031,0.11612,0.13276000000000004
20141103,0.12696000000000005,0.1436
20141104,0.12435999999999998,0.14100000000000001
20141105,0.12264,0.13928000000000001
20141106,0.12108,0.13772
20141107,0.12316000000000002,0.13980000000000006
20141110,0.13007999999999997,0.14672000000000002
20141111,0.14380000000000007,0.16044
20141112,0.14148000000000005,0.1581200000000001
20141113,0.15411999999999998,0.17076000000000002
20141114,0.14992,0.16655999999999996
20141117,0.13292,0.14955999999999997
20141118,0.12436000000000007,0.14100000000000001
20141119,0.12088000000000002,0.13751999999999995
20141120,0.11880000000000006,0.13544
20141121,0.12183999999999999,0.13848000000000002
20141124,0.1387200000000001,0.15536000000000003
20141125,0.14808000000000004,0.16471999999999998
20141126,0.15772000000000003,0.17436
20141127,0.17256,0.18919999999999995
20141128,0.16660000000000003,0.18324
20141201,0.19376000000000007,0.2104000000000001
20141202,0.15068,0.16731999999999997
20141203,0.16828000000000004,0.18491999999999997
20141204,0.13735999999999998,0.15399999999999991
20141205,0.16376000000000007,0.18040000000000003
20141208,0.16019999999999995,0.17683999999999997
20141209,0.10163999999999991,0.11827999999999994
20141210,0.14996,0.16660000000000003
20141211,0.1839599999999999,0.20059999999999995
20141212,0.18592000000000003,0.20256000000000007
20141215,0.17688000000000006,0.19352
20141216,0.16699999999999998,0.18363999999999994
20141217,0.18935999999999992,0.20599999999999988
20141218,0.20580000000000015,0.2224400000000001
20141219,0.18747999999999995,0.20412
20141222,0.17320000000000002,0.18983999999999995
20141223,0.19056000000000006,0.2072000000000001
20141224,0.1844400000000001,0.20108000000000006
20141225,0.18059999999999993,0.1911199999999999
20141226,0.1982000000000001,0.20268000000000014
20141229,0.2171999999999999,0.22723999999999994
20141230,0.25023999999999996,0.2516399999999999
20141231,0.26196,0.25884
