Initial Money:2.5
Risk Free Rate:0.04
Month to Expiry:0
Roll Over Day:0
,Delta20,Delta30
20140221,0.0,0.0
20140224,-0.002800000000000047,-0.002800000000000047
20140225,-0.0032000000000000028,-0.0032000000000000028
20140226,-0.0064000000000000055,-0.0064000000000000055
20140227,-0.0067999999999999615,-0.0067999999999999615
20140228,-0.008400000000000052,-0.008400000000000052
20140303,0.0,0.0
20140304,-0.0032000000000000028,-0.0032000000000000028
20140305,-0.00040000000000004474,-0.00040000000000004474
20140306,-0.005600000000000005,-0.005600000000000005
20140307,0.0008000000000000007,0.0008000000000000007
20140310,-0.002000000000000046,-0.002000000000000046
20140311,-0.004400000000000048,-0.004400000000000048
20140312,-0.007600000000000051,-0.007600000000000051
20140313,-0.002800000000000047,-0.002800000000000047
20140314,0.002799999999999958,0.002799999999999958
20140317,0.002799999999999958,0.002799999999999958
20140318,0.0040000000000000036,0.0040000000000000036
20140319,0.0032000000000000028,0.0032000000000000028
20140320,0.0012000000000000454,0.0012000000000000454
20140321,-0.005600000000000005,-0.005600000000000005
20140324,0.0011999999999999567,0.0011999999999999567
20140325,0.030000000000000072,0.030000000000000072
20140326,0.007599999999999963,0.007599999999999963
20140327,0.00039999999999995595,0.002400000000000002
20140328,0.009600000000000008,0.0064000000000000055
20140331,-0.0008000000000000007,0.004800000000000004
20140401,0.006800000000000051,0.0064000000000000055
20140403,0.014800000000000058,0.012800000000000011
20140404,0.01120000000000001,0.008399999999999963
20140409,0.028800000000000027,0.01959999999999997
20140410,0.021599999999999932,0.009999999999999964
20140411,0.034799999999999984,0.02400000000000002
20140414,0.034399999999999945,0.023199999999999932
20140415,0.028799999999999937,0.019999999999999928
20140416,0.026400000000000024,0.01799999999999997
20140417,0.027199999999999936,0.018399999999999927
20140418,0.022800000000000063,0.014800000000000058
20140421,0.01959999999999997,0.013680000000000003
20140422,0.016800000000000016,0.016000000000000014
20140423,0.02679999999999998,0.02679999999999998
20140424,0.027360000000000006,0.027800000000000047
20140425,0.027560000000000074,0.027800000000000047
20140428,0.01980000000000004,0.02183999999999999
20140429,0.018040000000000056,0.019439999999999992
20140430,0.022880000000000057,0.022240000000000038
20140505,0.011359999999999992,0.017040000000000076
20140506,0.018159999999999954,0.020640000000000037
20140507,0.019840000000000035,0.01820000000000004
20140508,0.016959999999999996,0.017520000000000025
20140509,0.019760000000000045,0.023840000000000038
20140512,0.020559999999999957,0.026639999999999997
20140513,0.030160000000000055,0.034640000000000004
20140514,0.030120000000000056,0.03384
20140515,0.0226,0.030400000000000028
20140516,0.02367999999999997,0.028239999999999998
20140519,0.012760000000000016,0.016239999999999987
20140520,0.012959999999999994,0.016640000000000033
20140521,0.008680000000000021,0.013839999999999986
20140522,0.01856,0.022800000000000063
20140523,0.018520000000000002,0.023439999999999996
20140526,0.022160000000000048,0.02744
20140527,0.023280000000000012,0.027039999999999953
20140528,0.02096,0.025439999999999952
20140529,0.025480000000000037,0.029960000000000077
20140530,0.02412000000000001,0.02859999999999996
20140603,0.024920000000000008,0.029400000000000048
20140604,0.023719999999999963,0.028200000000000003
20140605,0.01756000000000002,0.02203999999999997
20140606,0.02428000000000008,0.02876000000000003
20140609,0.021160000000000068,0.025640000000000017
20140610,0.021799999999999996,0.026280000000000036
20140611,0.025319999999999964,0.029800000000000004
20140612,0.02831999999999999,0.03280000000000003
20140613,0.02132000000000005,0.0258
20140616,0.023719999999999963,0.028200000000000003
20140617,0.028719999999999947,0.033199999999999986
20140618,0.02948000000000004,0.03396000000000008
20140619,0.026679999999999992,0.03116000000000003
20140620,0.026119999999999966,0.030600000000000006
20140623,0.029240000000000065,0.033720000000000014
20140624,0.024920000000000008,0.029400000000000048
20140625,0.027719999999999967,0.032200000000000006
20140626,0.029280000000000063,0.03304
20140627,0.029160000000000075,0.03360000000000003
20140630,0.030040000000000067,0.03528000000000002
20140701,0.03144000000000009,0.03656000000000006
20140702,0.03304000000000009,0.038960000000000064
20140703,0.034800000000000074,0.04080000000000004
20140704,0.03811999999999997,0.04356
20140707,0.039080000000000045,0.04480000000000004
20140708,0.037040000000000003,0.04235999999999995
20140709,0.034640000000000004,0.04059999999999997
20140710,0.03316000000000008,0.04060000000000006
20140711,0.034719999999999994,0.042199999999999974
20140714,0.037880000000000004,0.045479999999999965
20140715,0.04287999999999999,0.05068000000000002
20140716,0.04407999999999994,0.051999999999999956
20140717,0.04139999999999997,0.049800000000000025
20140718,0.04127999999999998,0.04960000000000005
20140721,0.031479999999999994,0.05296000000000003
20140722,0.04399999999999995,0.05259999999999998
20140723,0.05264000000000006,0.06139999999999999
20140724,0.05619999999999994,0.06495999999999995
20140725,0.06943999999999999,0.0782
20140728,0.07316000000000003,0.08192000000000003
20140729,0.08715999999999999,0.09592
20140730,0.08852000000000002,0.09728000000000003
20140731,0.08323999999999998,0.092
20140801,0.09051999999999998,0.09928
20140804,0.07919999999999998,0.08796
20140805,0.08628,0.09504000000000001
20140806,0.08323999999999998,0.092
20140807,0.07872000000000004,0.08747999999999996
20140808,0.08167999999999997,0.09043999999999999
20140811,0.08343999999999996,0.09219999999999998
20140812,0.08635999999999999,0.09512000000000001
20140813,0.08536000000000002,0.09412000000000002
20140814,0.09004000000000004,0.09879999999999996
20140815,0.08803999999999998,0.0968
20140818,0.09356,0.10231999999999992
20140819,0.09240000000000004,0.10115999999999996
20140820,0.09411999999999994,0.10287999999999994
20140821,0.08876000000000009,0.09752000000000001
20140822,0.09164000000000003,0.10040000000000004
20140825,0.09072000000000005,0.09948000000000005
20140826,0.08840000000000003,0.09716000000000005
